Paasdatum REXX v1.10
1901 : 07 april
1902 : 30 maart
1903 : 12 april
1904 : 03 april
1905 : 23 april
1906 : 15 april
1907 : 31 maart
1908 : 19 april
1909 : 11 april
1910 : 27 maart
1911 : 16 april
1912 : 07 april
1913 : 23 maart
1914 : 12 april
1915 : 04 april
1916 : 23 april
1917 : 08 april
1918 : 31 maart
1919 : 20 april
1920 : 04 april
1921 : 27 maart
1922 : 16 april
1923 : 01 april
1924 : 20 april
1925 : 12 april
1926 : 04 april
1927 : 17 april
1928 : 08 april
1929 : 31 maart
1930 : 20 april
1931 : 05 april
1932 : 27 maart
1933 : 16 april
1934 : 01 april
1935 : 21 april
1936 : 12 april
1937 : 28 maart
1938 : 17 april
1939 : 09 april
1940 : 24 maart
1941 : 13 april
1942 : 05 april
1943 : 25 april
1944 : 09 april
1945 : 01 april
1946 : 21 april
1947 : 06 april
1948 : 28 maart
1949 : 17 april
1950 : 09 april
1951 : 25 maart
1952 : 13 april
1953 : 05 april
1954 : 25 april
1955 : 10 april
1956 : 01 april
1957 : 21 april
1958 : 06 april
1959 : 29 maart
1960 : 17 april
1961 : 02 april
1962 : 22 april
1963 : 14 april
1964 : 29 maart
1965 : 18 april
1966 : 10 april
1967 : 26 maart
1968 : 14 april
1969 : 06 april
1970 : 29 maart
1971 : 11 april
1972 : 02 april
1973 : 22 april
1974 : 14 april
1975 : 30 maart
1976 : 18 april
1977 : 10 april
1978 : 26 maart
1979 : 15 april
1980 : 06 april
1981 : 19 april
1982 : 11 april
1983 : 03 april
1984 : 22 april
1985 : 07 april
1986 : 30 maart
1987 : 19 april
1988 : 03 april
1989 : 26 maart
1990 : 15 april
1991 : 31 maart
1992 : 19 april
1993 : 11 april
1994 : 03 april
1995 : 16 april
1996 : 07 april
1997 : 30 maart
1998 : 12 april
1999 : 04 april
2000 : 23 april
2001 : 15 april
2002 : 31 maart
2003 : 20 april
2004 : 11 april
2005 : 27 maart
2006 : 16 april
2007 : 08 april
2008 : 23 maart
2009 : 12 april
2010 : 04 april
2011 : 24 april
2012 : 08 april
2013 : 31 maart
2014 : 20 april
2015 : 05 april
2016 : 27 maart
2017 : 16 april
2018 : 01 april
2019 : 21 april
2020 : 12 april
2021 : 04 april
2022 : 17 april
2023 : 09 april
2024 : 31 maart
2025 : 20 april
2026 : 05 april
2027 : 28 maart
2028 : 16 april
2029 : 01 april
2030 : 21 april
2031 : 13 april
2032 : 28 maart
2033 : 17 april
2034 : 09 april
2035 : 25 maart
2036 : 13 april
2037 : 05 april
2038 : 25 april
2039 : 10 april
2040 : 01 april
2041 : 21 april
2042 : 06 april
2043 : 29 maart
2044 : 17 april
2045 : 09 april
2046 : 25 maart
2047 : 14 april
2048 : 05 april
2049 : 25 april
2050 : 10 april
2051 : 02 april
2052 : 21 april
2053 : 06 april
2054 : 29 maart
2055 : 18 april
2056 : 02 april
2057 : 22 april
2058 : 14 april
2059 : 30 maart
2060 : 18 april
2061 : 10 april
2062 : 26 maart
2063 : 15 april
2064 : 06 april
2065 : 29 maart
2066 : 11 april
2067 : 03 april
2068 : 22 april
2069 : 14 april
2070 : 30 maart
2071 : 19 april
2072 : 10 april
2073 : 26 maart
2074 : 15 april
2075 : 07 april
2076 : 19 april
2077 : 11 april
2078 : 03 april
2079 : 23 april
2080 : 07 april
2081 : 30 maart
2082 : 19 april
2083 : 04 april
2084 : 26 maart
2085 : 15 april
2086 : 31 maart
2087 : 20 april
2088 : 11 april
2089 : 03 april
2090 : 16 april
2091 : 08 april
2092 : 30 maart
2093 : 12 april
2094 : 04 april
2095 : 24 april
2096 : 15 april
2097 : 31 maart
2098 : 20 april
2099 : 12 april
